"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"Event Data Generator %1 must implement %2 interface","Event Data Generator %1 must implement %2 interface"
"Event Data Generator with %1 code is not declared","Event Data Generator with %1 code is not declared"
"Facebook Pixel","Facebook Pixel"
Information,Information
General,General
"Enable Facebook Pixel","Enable Facebook Pixel"
"Facebook Pixel ID","Facebook Pixel ID"
"Log All Events Data","Log All Events Data"
"Manage Events","Manage Events"
"Category View","Category View"
"Product View","Product View"
"Initiate Checkout","Initiate Checkout"
Purchase,Purchase
"Product Search","Product Search"
"Add To Cart","Add To Cart"
"Add To Wishlist","Add To Wishlist"
"Customer Registration","Customer Registration"
